Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
VXI,Manual,78622,Petrol,KA-05,450000,"Sonnappanahalli
",Bangalore,Maruti,2012,2,8798
VXI PLUS,Manual,18835,Petrol,KA-50,415000,"Sonnappanahalli
",Bangalore,Maruti,2021,1,8113
RXT 1.0 AMT (O),Automatic,7155,Petrol,KA-03,505000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Renault,2019,1,9873
VXI,Manual,50894,Petrol,KA-01,440000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Maruti,2013,2,8602
ASTA 1.4 CRDI (O),Manual,67764,Diesel,KA-50,738000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2016,1,14428
PETROL,Manual,10677,Petrol,KA-04,580000,"Hosur Road, Singasandra, Bengaluru",Bangalore,Tata,2019,1,11339
HTK PLUS 1.5 IMT,Manual,24057,Petrol,KA-50,1340000,"Bellahalli, Bengaluru",Bangalore,KIA,2022,1,25506
1.4 SX,Manual,68152,Diesel,KA-51,693000,"Horamavu Agara Road, Bengaluru",Bangalore,Hyundai,2015,1,13548
VX,Manual,74175,Petrol,KA-01,340000,"Sonnappanahalli
",Bangalore,Toyota,2011,2,6647
SPORTZ 1.2,Manual,56672,Petrol,KA-03,596000,"Bellahalli, Bengaluru",Bangalore,Hyundai,2017,3,11652
MAGNA (O) 1.2,Manual,75477,Petrol,KA-04,347000,"GT World Mall, Bengaluru",Bangalore,Hyundai,2011,1,6784
HTX 1.5 CVT PETROL,Automatic,10058,Petrol,KA-50,1533000,"Garuda Mall, Magrath Road, Bengaluru",Bangalore,KIA,2021,1,29179
MAGNA 1.2,Manual,107580,Petrol,TN-12,303000,"Navalur
",Chennai,Hyundai,2013,1,5924
XT PETROL,Manual,51578,Petrol,TN-85,547000,"Thiruverkadu, Chennai
",Chennai,Tata,2020,1,10694
HIGHLINE 1.6 MPI,Manual,76528,Petrol,TN-10,526000,"Thiruverkadu, Chennai
",Chennai,Volkswagen,2015,3,10283
RXT 1.0 AMT (O),Automatic,33030,Petrol,TN-11,342000,"Thiruverkadu, Chennai
",Chennai,Renault,2017,2,6686
TITANIUM 1.5L PETROL AT,Automatic,74365,Petrol,TN-13,557000,"Thiruverkadu, Chennai
",Chennai,Ford,2015,1,10889
TITANIUM 1.5L DIESEL,Manual,74057,Diesel,TN-11,668000,"Thiruverkadu, Chennai
",Chennai,Ford,2017,1,13060
SX 1.2,Manual,61993,Petrol,TN-65,384000,"Navalur
",Chennai,Hyundai,2014,2,7507
SX (O) 1.5 DIESEL,Manual,58418,Diesel,TN-37,1478000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2020,1,28132
K8 6 STR,Manual,35735,Petrol,TN-07,473000,"Thiruverkadu, Chennai
",Chennai,Mahindra,2016,1,9247
TREND 1.5L PETROL,Manual,74096,Petrol,TN-11,695000,"Thiruverkadu, Chennai
",Chennai,Ford,2019,1,13587
VXI AMT,Automatic,58704,Petrol,TN-10,617000,"Navalur
",Chennai,Maruti,2018,1,12062
GL PLUS,Manual,76730,Petrol,TN-22,295000,"Navalur
",Chennai,Hyundai,2012,1,5767
Trendline 1.0,Manual,63623,Petrol,TN-22,489000,"Navalur
",Chennai,Volkswagen,2019,1,9560
T,Manual,38734,Petrol,TN-25,307000,"Thiruverkadu, Chennai
",Chennai,Datsun,2017,3,6002
ASTA 1.2 (O),Manual,47429,Petrol,TN-22,633000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2016,1,12375
1.2L I-VTEC V AT,Automatic,66285,Petrol,TN-01,660000,"Navalur
",Chennai,Honda,2017,1,12903
MAGNA 1.1,Manual,43881,Petrol,TN-20,339000,"Navalur
",Chennai,Hyundai,2015,1,6628
T4 PLUS,Manual,94015,Diesel,TN-10,593000,"Thiruverkadu, Chennai
",Chennai,Mahindra,2017,1,11593
LXI,Manual,11019,Petrol,TN-14,386000,"Navalur
",Chennai,Maruti,2019,2,7546
VXI,Manual,119004,Petrol,TN-11,465000,"Thiruverkadu, Chennai
",Chennai,Maruti,2018,1,9091
VXI,Manual,20785,Petrol,TN-10,372000,"Navalur
",Chennai,Maruti,2013,1,7273
HTX 1.5 CVT PETROL,Automatic,35650,Petrol,TN-85,1369000,"Thiruverkadu, Chennai
",Chennai,KIA,2020,1,26058
XV D THP 110 PS,Manual,96892,Diesel,TN-14,525000,"Thiruverkadu, Chennai
",Chennai,Nissan,2015,3,10264
ADVENTURE MT,Manual,9991,Petrol,TN-14,688000,"Thiruverkadu, Chennai
",Chennai,Tata,2022,1,13451
RXT AMT,Automatic,6406,Petrol,TN-23,753000,"Navalur
",Chennai,Renault,2022,1,14721
1.2L I-VTEC V AT,Automatic,27872,Petrol,TN-06,684000,"Navalur
",Chennai,Honda,2017,1,13372
ZXI AMT,Automatic,25346,Petrol,TN-01,662000,"Thiruverkadu, Chennai
",Chennai,Maruti,2018,1,12942
VDI AMT,Automatic,67213,Diesel,TN-06,640300,"Thiruverkadu, Chennai
",Chennai,Maruti,2018,1,12518
TITANIUM 1.2 PETROL MT,Manual,21619,Petrol,TN-23,597000,"Navalur
",Chennai,Ford,2020,1,11671
1.6 VTVT SX,Manual,32074,Petrol,TN-09,818000,"Navalur
",Chennai,Hyundai,2018,2,15570
HIGHLINE TDI,Manual,76006,Diesel,TN-10,573000,"Navalur
",Chennai,Volkswagen,2012,3,11202
ZXI,Manual,81738,Petrol,TN-22,285000,"Navalur
",Chennai,Maruti,2011,1,5572
ZXI (O) AMT,Automatic,44216,Petrol,TN-09,464000,"Thiruverkadu, Chennai
",Chennai,Maruti,2018,1,9071
G,Manual,97942,Petrol,TN-07,349000,"Thiruverkadu, Chennai
",Chennai,Toyota,2011,2,6823
E PLUS 1.6 PETROL,Manual,83294,Petrol,TN-07,843000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2018,1,16046
S 1.5 PETROL,Manual,60328,Petrol,TN-74,1069000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2020,2,20347
XT 1.2 REVOTRON,Manual,29413,Petrol,TN-50,472000,"Navalur
",Chennai,Tata,2019,1,9228
XE,Manual,37716,Petrol,TN-03,616000,"Thiruverkadu, Chennai
",Chennai,Nissan,2022,1,12043
VXI,Manual,70940,Petrol,TN-14,563000,"Thiruverkadu, Chennai
",Chennai,Maruti,2018,1,11007
RXT 0.8,Manual,72679,Petrol,TN-01,330000,"Thiruverkadu, Chennai
",Chennai,Renault,2016,2,6452
VXI,Manual,44099,Petrol,TN-20,326000,"Thiruverkadu, Chennai
",Chennai,Maruti,2015,1,6373
1.2 SX,Manual,69786,Petrol,TN-10,578000,"Navalur
",Chennai,Hyundai,2017,2,11300
XV S,Manual,81680,Petrol,TN-14,390000,"Thiruverkadu, Chennai
",Chennai,Nissan,2018,1,7625
VXI,Manual,69232,Petrol,TN-18,462000,"Thiruverkadu, Chennai
",Chennai,Maruti,2015,1,9032
1.2 SX,Manual,26491,Petrol,TN-22,626000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2016,1,12238
LONGITUDE 2.0 DIESEL,Manual,49397,Diesel,TN-10,1178000,"Thiruverkadu, Chennai
",Chennai,Jeep,2017,2,22422
CROSS 1.2 G,Manual,56380,Petrol,TN-10,512000,"Thiruverkadu, Chennai
",Chennai,Toyota,2016,1,10010
A(O),Manual,71413,Petrol,TN-04,415000,"Thiruverkadu, Chennai
",Chennai,Datsun,2019,1,8113
COMFORTLINE  CUP EDITION,Manual,94931,Petrol,TN-81,666000,"Navalur
",Chennai,Volkswagen,2019,1,13020
VXI (O),Manual,69437,Petrol,TN-11,371000,"Navalur
",Chennai,Maruti,2016,3,7253
VXI AMT,Automatic,29864,Petrol,TN-11,485000,"Thiruverkadu, Chennai
",Chennai,Maruti,2020,3,9482
ASTA 1.4 CRDI (O),Manual,63734,Diesel,TN-09,621000,"Navalur
",Chennai,Hyundai,2017,2,12141
SPORTZ 1.4 CRDI,Manual,76697,Diesel,TN-02,495000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2014,3,9677
RXE PETROL,Manual,61426,Petrol,TN-02,685000,"Navalur
",Chennai,Renault,2018,2,13392
SMART 2.0 DIESEL,Manual,50691,Diesel,TN-19,1554000,"Thiruverkadu, Chennai
",Chennai,MG,2020,1,29579
XZ PETROL,Manual,65287,Petrol,TN-10,433000,"Navalur
",Chennai,Tata,2017,1,8465
HIGHLINE1.2L PETROL,Manual,97912,Petrol,TN-12,535000,"Thiruverkadu, Chennai
",Chennai,Volkswagen,2017,2,10459
